rowID,layout,headerText,tagText,bodyText,additionalHeaderText,additionalTagText,additionalBodyText,isEnable
ShopSlot_Saint,ShopSlot,"{heroName} - tier <color=#FFCE1B>{heroTier}</color>, {mode} - for <color=#FFCE1B>{deployCost}</color>","Classes : {heroSynergies}","Nearby heroes gain <color=red>20</color>% ATK.",Lv.3,,Nearby heroes’ ATK increases to 40%.,TRUE
ShopSlot_Sancitifier,ShopSlot,"{heroName} - tier <color=#FFCE1B>{heroTier}</color>, {mode} - for <color=#FFCE1B>{deployCost}</color>","Classes : {heroSynergies}","Nearby heroes decrease cooldown by <color=red>20</color>%.",Lv.3,,Nearby heroes’ cooldown decreases by 40%.,TRUE
ShopSlot_Crusader,ShopSlot,"{heroName} - tier <color=#FFCE1B>{heroTier}</color>, {mode} - for <color=#FFCE1B>{deployCost}</color>","Classes : {heroSynergies}","Periodically deals damage to enemies within range.",Lv.3,,Deals double damage to enemies.,TRUE

PartySlot_Archer,PartySlot,"{heroName} - <color=#FFCE1B>Lv.{heroLevel}</color>, tier <color=#FFCE1B>1</color>, {mode} - for <color=#FFCE1B>{deployCost}</color>","Classes : {heroSynergies}","Fires <color=red>1</color> bullet at the nearest enemy.",Lv.3,,Reduces attack cooldown by 30%.,TRUE
PartySlot_Handgunner,PartySlot,"{heroName} - <color=#FFCE1B>Lv.{heroLevel}</color>, tier <color=#FFCE1B>2</color>, {mode} - for <color=#FFCE1B>{deployCost}</color>","Classes : {heroSynergies}","Fires <color=red>3</color> bullets at the nearest enemy.",Lv.3,,Increases the bullet count to 8.,TRUE
PartySlot_Shotgunner,PartySlot,"{heroName} - <color=#FFCE1B>Lv.{heroLevel}</color>, tier <color=#FFCE1B>2</color>, {mode} - for <color=#FFCE1B>{deployCost}</color>","Classes : {heroSynergies}","Fires <color=red>3</color> bullets across a 45-degree arc.",Lv.3,,Turns the arc into a full circle and increases the bullet count.,TRUE
PartySlot_Artillery,PartySlot,"{heroName} - <color=#FFCE1B>Lv.{heroLevel}</color>, tier <color=#FFCE1B>2</color>, {mode} - for <color=#FFCE1B>{deployCost}</color>","Classes : {heroSynergies}","Launches a massive <color=red>1</color> cannonball that pierces enemies.",Lv.3,,Doubles the cannonball’s movement speed.,TRUE
PartySlot_Sniper,PartySlot,"{heroName} - <color=#FFCE1B>Lv.{heroLevel}</color>, tier <color=#FFCE1B>3</color>, {mode} - for <color=#FFCE1B>{deployCost}</color>","Classes : {heroSynergies}","Fires high-speed <color=red>1</color> bullet that pierces enemies.",Lv.3,,Reduces attack cooldown by 50%.,TRUE
PartySlot_Trickshooter,PartySlot,"{heroName} - <color=#FFCE1B>Lv.{heroLevel}</color>, tier <color=#FFCE1B>3</color>, {mode} - for <color=#FFCE1B>{deployCost}</color>","Classes : {heroSynergies}","Fires rapid machine-gun shots at the nearest enemy.",Lv.3,,Bullets pierce enemies.,TRUE
PartySlot_Wizard,PartySlot,"{heroName} - <color=#FFCE1B>Lv.{heroLevel}</color>, tier <color=#FFCE1B>1</color>, {mode} - for <color=#FFCE1B>{deployCost}</color>","Classes : {heroSynergies}","Creates <color=red>3</color> magic circles on the nearest enemy.",Lv.3,,Increases the magic circles count to 8.,TRUE
PartySlot_Magician,PartySlot,"{heroName} - <color=#FFCE1B>Lv.{heroLevel}</color>, tier <color=#FFCE1B>1</color>, {mode} - for <color=#FFCE1B>{deployCost}</color>","Classes : {heroSynergies}","Fires a magic orb at the nearest enemy,\ndealing immediate damage and <color=red>DoT</color> damage.",Lv.3,,DoT damage is doubled.,TRUE
PartySlot_Explomancer,PartySlot,"{heroName} - <color=#FFCE1B>Lv.{heroLevel}</color>, tier <color=#FFCE1B>2</color>, {mode} - for <color=#FFCE1B>{deployCost}</color>","Classes : {heroSynergies}","Creates a magic circle at the nearest enemy,\ndealing immediate damage and <color=red>DoT</color> to enemies within it.",Lv.3,,Halves the DoT interval.,TRUE
PartySlot_Telekinetic,PartySlot,"{heroName} - <color=#FFCE1B>Lv.{heroLevel}</color>, tier <color=#FFCE1B>2</color>, {mode} - for <color=#FFCE1B>{deployCost}</color>","Classes : {heroSynergies}","Creates a gravity field at the nearest enemy’s location,\npulling enemies inward.",Lv.3,,Doubles the gravity field’s duration.,TRUE
PartySlot_Transmuter,PartySlot,"{heroName} - <color=#FFCE1B>Lv.{heroLevel}</color>, tier <color=#FFCE1B>3</color>, {mode} - for <color=#FFCE1B>{deployCost}</color>","Classes : {heroSynergies}","Fires a magic orb at the nearest enemy,\ndisabling its abilities.",Lv.3,,Roots enemies hit by the magic orb.,TRUE
PartySlot_Artificer,PartySlot,"{heroName} - <color=#FFCE1B>Lv.{heroLevel}</color>, tier <color=#FFCE1B>3</color>, {mode} - for <color=#FFCE1B>{deployCost}</color>","Classes : {heroSynergies}","Deploys a hextech robot to an adjacent tile.",Lv.3,,The hextech robot has a 30% chance to slow enemies.,TRUE
PartySlot_Miner,PartySlot,"{heroName} - <color=#FFCE1B>Lv.{heroLevel}</color>, tier <color=#FFCE1B>1</color>, {mode} - for <color=#FFCE1B>{deployCost}</color>","Classes : {heroSynergies}","Drops <color=red>1</color> gold every 5/4/3 attacks.",,,,TRUE
PartySlot_Alchemist,PartySlot,"{heroName} - <color=#FFCE1B>Lv.{heroLevel}</color>, tier <color=#FFCE1B>2</color>, {mode} - for <color=#FFCE1B>{deployCost}</color>","Classes : {heroSynergies}","Nearby heroes gain <color=red>20</color>% DEF Ignore.",Lv.3,,Nearby heroes’ DEF Ignore increases to 40%.,TRUE
PartySlot_Saint,PartySlot,"{heroName} - <color=#FFCE1B>Lv.{heroLevel}</color>, tier <color=#FFCE1B>2</color>, {mode} - for <color=#FFCE1B>{deployCost}</color>","Classes : {heroSynergies}","Nearby heroes gain <color=red>20</color>% ATK.",Lv.3,,Nearby heroes’ ATK increases to 40%.,TRUE
PartySlot_Sancitifier,PartySlot,"{heroName} - <color=#FFCE1B>Lv.{heroLevel}</color>, tier <color=#FFCE1B>2</color>, {mode} - for <color=#FFCE1B>{deployCost}</color>","Classes : {heroSynergies}","Nearby heroes decrease <color=red>20</color>% Cooldown.",Lv.3,,Nearby heroes’ cooldown decreases to 40%.,TRUE
PartySlot_Crusader,PartySlot,"{heroName} - <color=#FFCE1B>Lv.{heroLevel}</color>, tier <color=#FFCE1B>3</color>, {mode} - for <color=#FFCE1B>{deployCost}</color>","Classes : {heroSynergies}","Periodically deals damage to enemies within range.",Lv.3,,Deals double damage to enemies.,TRUE
