rowID,waveID,enemyID,spawnCount,startTime,spawnInterval,order,isEnable
Stage_07_04_02,Stage_07_04,Enemy_Enrager,2,2,1.3,1,TRUE
Stage_07_05_01,Stage_07_05,Enemy_Normal,18,0,0.45,0,TRUE
Stage_07_05_02,Stage_07_05,Enemy_Tanker,2,1,1.5,1,TRUE
Stage_07_05_03,Stage_07_05,Enemy_Blinker,3,2,1.2,2,TRUE
Stage_08_01_01,Stage_08_01,Enemy_Normal,18,0,0.5,0,TRUE
Stage_08_01_02,Stage_08_01,Enemy_Hexer,1,2,1,1,TRUE
Stage_08_02_01,Stage_08_02,Enemy_Normal,18,0,0.47,0,TRUE
Stage_08_02_02,Stage_08_02,Enemy_Blinker,2,2,1.2,1,TRUE
Stage_08_03_01,Stage_08_03,Enemy_Normal,20,0,0.45,0,TRUE
Stage_08_03_02,Stage_08_03,Enemy_Tanker,2,1.5,1.5,1,TRUE
Stage_08_04_01,Stage_08_04,Enemy_Normal,20,0,0.43,0,TRUE
Stage_08_04_02,Stage_08_04,Enemy_Hexer,2,1.5,1.6,1,TRUE
Stage_08_05_01,Stage_08_05,Enemy_Normal,20,0,0.42,0,TRUE
Stage_08_05_02,Stage_08_05,Enemy_Enrager,2,2,1.3,1,TRUE
Stage_08_05_03,Stage_08_05,Enemy_Hexer,2,3,1.5,2,TRUE
Stage_09_01_01,Stage_09_01,Enemy_Normal,20,0,0.48,0,TRUE
Stage_09_01_02,Stage_09_01,Enemy_Hexer,1,2,1,1,TRUE
Stage_09_02_01,Stage_09_02,Enemy_Normal,20,0,0.45,0,TRUE
Stage_09_02_02,Stage_09_02,Enemy_Tanker,2,1.5,1.5,1,TRUE
Stage_09_03_01,Stage_09_03,Enemy_Normal,22,0,0.43,0,TRUE
Stage_09_03_02,Stage_09_03,Enemy_Blinker,3,1.5,1.2,1,TRUE
Stage_09_04_01,Stage_09_04,Enemy_Normal,22,0,0.42,0,TRUE
Stage_09_04_02,Stage_09_04,Enemy_Hexer,2,1.5,1.5,1,TRUE
Stage_09_04_03,Stage_09_04,Enemy_Enrager,1,3,1,2,TRUE
Stage_09_05_01,Stage_09_05,Enemy_Normal,22,0,0.4,0,TRUE
Stage_09_05_02,Stage_09_05,Enemy_Tanker,3,1,1.4,1,TRUE
Stage_09_05_03,Stage_09_05,Enemy_Hexer,2,2.5,1.5,2,TRUE
Stage_10_01_01,Stage_10_01,Enemy_Normal,20,0,0.45,0,TRUE
Stage_10_01_02,Stage_10_01,Enemy_Swarmer,2,2,0.5,1,TRUE
Stage_10_02_01,Stage_10_02,Enemy_Normal,22,0,0.43,0,TRUE
Stage_10_02_02,Stage_10_02,Enemy_Hexer,2,1.5,1.4,1,TRUE
Stage_10_03_01,Stage_10_03,Enemy_Normal,22,0,0.42,0,TRUE
Stage_10_03_02,Stage_10_03,Enemy_Blinker,3,1.5,1.1,1,TRUE
Stage_10_04_01,Stage_10_04,Enemy_Normal,22,0,0.4,0,TRUE
Stage_10_04_02,Stage_10_04,Enemy_Swarmer,4,2,0.4,1,TRUE
Stage_10_05_01,Stage_10_05,Enemy_Normal,22,0,0.39,0,TRUE
Stage_10_05_02,Stage_10_05,Enemy_Tanker,3,1.5,1.3,1,TRUE
Stage_10_05_03,Stage_10_05,Enemy_Enrager,1,3,1,2,TRUE
Stage_10_06_01,Stage_10_06,Enemy_Normal,24,0,0.38,0,TRUE
Stage_10_06_02,Stage_10_06,Enemy_Hexer,2,1,1.3,1,TRUE
Stage_10_06_03,Stage_10_06,Enemy_Swarmer,5,2.5,0.35,2,TRUE
Stage_11_01_01,Stage_11_01,Enemy_Normal,22,0,0.43,0,TRUE
Stage_11_01_02,Stage_11_01,Enemy_Swarmer,3,2,0.45,1,TRUE
Stage_11_02_01,Stage_11_02,Enemy_Normal,22,0,0.41,0,TRUE
Stage_11_02_02,Stage_11_02,Enemy_Hexer,2,1.5,1.3,1,TRUE
Stage_11_03_01,Stage_11_03,Enemy_Normal,24,0,0.4,0,TRUE
Stage_11_03_02,Stage_11_03,Enemy_Blinker,4,1.5,1,1,TRUE
Stage_11_04_01,Stage_11_04,Enemy_Normal,24,0,0.38,0,TRUE
Stage_11_04_02,Stage_11_04,Enemy_Tanker,3,1,1.3,1,TRUE
Stage_11_05_01,Stage_11_05,Enemy_Normal,24,0,0.37,0,TRUE
Stage_11_05_02,Stage_11_05,Enemy_Swarmer,5,2,0.35,1,TRUE
Stage_11_05_03,Stage_11_05,Enemy_Enrager,2,3,1.2,2,TRUE
Stage_11_06_01,Stage_11_06,Enemy_Normal,26,0,0.36,0,TRUE
Stage_11_06_02,Stage_11_06,Enemy_Hexer,3,1.5,1.2,1,TRUE
Stage_11_06_03,Stage_11_06,Enemy_Swarmer,6,2.5,0.3,2,TRUE
Stage_12_01_01,Stage_12_01,Enemy_Normal,22,0,0.4,0,TRUE
Stage_12_01_02,Stage_12_01,Enemy_Summoner,1,2,1,1,TRUE
Stage_12_02_01,Stage_12_02,Enemy_Normal,24,0,0.38,0,TRUE
Stage_12_02_02,Stage_12_02,Enemy_Swarmer,5,2,0.35,1,TRUE
Stage_12_03_01,Stage_12_03,Enemy_Normal,24,0,0.36,0,TRUE
Stage_12_03_02,Stage_12_03,Enemy_Hexer,3,1.5,1.2,1,TRUE
Stage_12_04_01,Stage_12_04,Enemy_Normal,24,0,0.35,0,TRUE
Stage_12_04_02,Stage_12_04,Enemy_Tanker,4,1,1.2,1,TRUE
Stage_12_05_01,Stage_12_05,Enemy_Normal,24,0,0.34,0,TRUE
Stage_12_05_02,Stage_12_05,Enemy_Summoner,2,1.5,1.4,1,TRUE
Stage_12_05_03,Stage_12_05,Enemy_Enrager,2,2.5,1.2,2,TRUE
Stage_12_06_01,Stage_12_06,Enemy_Normal,26,0,0.33,0,TRUE
Stage_12_06_02,Stage_12_06,Enemy_Blinker,4,1,1,1,TRUE
Stage_12_06_03,Stage_12_06,Enemy_Summoner,3,2.5,1.3,2,TRUE
Stage_12_04_01,Stage_12_04,Enemy_Normal,24,0,0.35,0,TRUE
Stage_12_04_02,Stage_12_04,Enemy_Tanker,4,1,1.2,1,TRUE
Stage_12_05_01,Stage_12_05,Enemy_Normal,24,0,0.34,0,TRUE
Stage_12_05_02,Stage_12_05,Enemy_Summoner,2,1.5,1.3,1,TRUE
Stage_12_05_03,Stage_12_05,Enemy_Enrager,2,2.5,1.2,2,TRUE
Stage_12_06_01,Stage_12_06,Enemy_Normal,26,0,0.33,0,TRUE
Stage_12_06_02,Stage_12_06,Enemy_Hexer,3,1,1.2,1,TRUE
Stage_12_06_03,Stage_12_06,Enemy_Summoner,3,2.5,1.3,2,TRUE
